metric,label_pct,method,average_rank,friedman_p,n_streams
acc,1,Uniform,7.666666666666667,9.359476271501801e-08,9
acc,1,Margin,4.111111111111111,9.359476271501801e-08,9
acc,1,RefereeAcc,6.555555555555555,9.359476271501801e-08,9
acc,1,Competence,3.0,9.359476271501801e-08,9
acc,1,MMR,2.4444444444444446,9.359476271501801e-08,9
acc,1,SelfTrain-M,9.444444444444445,9.359476271501801e-08,9
acc,1,SelfTrain-A,9.666666666666666,9.359476271501801e-08,9
acc,1,Disagree,8.333333333333334,9.359476271501801e-08,9
acc,1,SLEADE,5.888888888888889,9.359476271501801e-08,9
acc,1,LENS-M,4.777777777777778,9.359476271501801e-08,9
acc,1,LENS,4.111111111111111,9.359476271501801e-08,9
acc,5,Uniform,6.777777777777778,0.0014322766851889415,9
acc,5,Margin,4.888888888888889,0.0014322766851889415,9
acc,5,RefereeAcc,5.333333333333333,0.0014322766851889415,9
acc,5,Competence,4.555555555555555,0.0014322766851889415,9
acc,5,MMR,4.111111111111111,0.0014322766851889415,9
acc,5,SelfTrain-M,8.444444444444445,0.0014322766851889415,9
acc,5,SelfTrain-A,7.888888888888889,0.0014322766851889415,9
acc,5,Disagree,9.444444444444445,0.0014322766851889415,9
acc,5,SLEADE,5.888888888888889,0.0014322766851889415,9
acc,5,LENS-M,4.166666666666667,0.0014322766851889415,9
acc,5,LENS,4.5,0.0014322766851889415,9
f1,1,Uniform,8.0,7.100418067871563e-08,9
f1,1,Margin,4.111111111111111,7.100418067871563e-08,9
f1,1,RefereeAcc,6.333333333333333,7.100418067871563e-08,9
f1,1,Competence,3.111111111111111,7.100418067871563e-08,9
f1,1,MMR,2.5555555555555554,7.100418067871563e-08,9
f1,1,SelfTrain-M,9.777777777777779,7.100418067871563e-08,9
f1,1,SelfTrain-A,9.444444444444445,7.100418067871563e-08,9
f1,1,Disagree,8.0,7.100418067871563e-08,9
f1,1,SLEADE,5.777777777777778,7.100418067871563e-08,9
f1,1,LENS-M,5.444444444444445,7.100418067871563e-08,9
f1,1,LENS,3.4444444444444446,7.100418067871563e-08,9
f1,5,Uniform,7.222222222222222,2.487669438535113e-05,9
f1,5,Margin,4.777777777777778,2.487669438535113e-05,9
f1,5,RefereeAcc,5.777777777777778,2.487669438535113e-05,9
f1,5,Competence,4.0,2.487669438535113e-05,9
f1,5,MMR,3.5555555555555554,2.487669438535113e-05,9
f1,5,SelfTrain-M,8.777777777777779,2.487669438535113e-05,9
f1,5,SelfTrain-A,8.88888888888889,2.487669438535113e-05,9
f1,5,Disagree,9.222222222222221,2.487669438535113e-05,9
f1,5,SLEADE,5.777777777777778,2.487669438535113e-05,9
f1,5,LENS-M,4.333333333333333,2.487669438535113e-05,9
f1,5,LENS,3.6666666666666665,2.487669438535113e-05,9
